region_code,region_name,city_name
ARA,Auvergne-Rhône-Alpes,L'Abergement-Clémenciat
ARA,Auvergne-Rhône-Alpes,L'Abergement-de-Varey
ARA,Auvergne-Rhône-Alpes,Aboën
ARA,Auvergne-Rhône-Alpes,Abondance
ARA,Auvergne-Rhône-Alpes,Abrest
ARA,Auvergne-Rhône-Alpes,Les Abrets en Dauphiné
ARA,Auvergne-Rhône-Alpes,Accons
ARA,Auvergne-Rhône-Alpes,Les Adrets
ARA,Auvergne-Rhône-Alpes,Affoux
ARA,Auvergne-Rhône-Alpes,Agnat
ARA,Auvergne-Rhône-Alpes,Agnin
ARA,Auvergne-Rhône-Alpes,Agonges
ARA,Auvergne-Rhône-Alpes,Aiguebelette-le-Lac
ARA,Auvergne-Rhône-Alpes,Aiguebelle
ARA,Auvergne-Rhône-Alpes,Aigueblanche
ARA,Auvergne-Rhône-Alpes,Aigueperse
ARA,Auvergne-Rhône-Alpes,Aigueperse
ARA,Auvergne-Rhône-Alpes,Aiguilhe
ARA,Auvergne-Rhône-Alpes,Ailhon
ARA,Auvergne-Rhône-Alpes,Ailleux
ARA,Auvergne-Rhône-Alpes,Aillon-le-Jeune
ARA,Auvergne-Rhône-Alpes,Aillon-le-Vieux
ARA,Auvergne-Rhône-Alpes,Aime-la-Plagne
ARA,Auvergne-Rhône-Alpes,Ainay-le-Château
ARA,Auvergne-Rhône-Alpes,Aiton
ARA,Auvergne-Rhône-Alpes,Aix-la-Fayette
ARA,Auvergne-Rhône-Alpes,Aix-les-Bains
ARA,Auvergne-Rhône-Alpes,Aizac
ARA,Auvergne-Rhône-Alpes,Ajoux
ARA,Auvergne-Rhône-Alpes,Alba-la-Romaine
ARA,Auvergne-Rhône-Alpes,L'Albenc
ARA,Auvergne-Rhône-Alpes,Albepierre-Bredons
ARA,Auvergne-Rhône-Alpes,Albertville
ARA,Auvergne-Rhône-Alpes,Albiez-le-Jeune
ARA,Auvergne-Rhône-Alpes,Albiez-Montrond
ARA,Auvergne-Rhône-Alpes,Albigny-sur-Saône
ARA,Auvergne-Rhône-Alpes,Albon
ARA,Auvergne-Rhône-Alpes,Albon-d'Ardèche
ARA,Auvergne-Rhône-Alpes,Alboussière
